,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery,failure,chip_counts,fail_counts,failure_rate
74,25_2023-03-28,A,3,ARA Sensetal,2023-03-28,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676293-3-C7,n1mhv,ww,qscript_xlt,40.0,V,False,22863,128.0,3450.0,0.0,270.4381539073344,12981.03138755205,324.5257846888013,613.0407702417447,372.4935313375173,0.95,994.0,2658.0,0.0,2141.125936700578,102774.0449616277,2569.351124040694,1478.121902863386,267.5825860005944,0.61,438809.9838074066,23.42108173334889,0,12.0,0.0,0.0
75,25_2023-03-28,A,3,ARA Sensetal,2023-03-28,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676293-3-D7,n1mhv,ww,qscript_xlt,40.0,V,False,21739,110.0,3450.0,0.0,244.3581726337886,11729.19228642185,293.2298071605463,613.0407702417447,372.4935313375173,0.99,897.0,2658.0,0.0,2029.754378844229,97428.21018452302,2435.705254613075,1478.121902863386,267.5825860005944,0.64,438809.9838074066,22.20282440685857,0,12.0,0.0,0.0
88,25_2023-03-27,A,3,ARA Sensetal,2023-03-27,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676293-3-A7,n1mhv,ww,qscript_xlt,40.0,V,False,28175,162.0,3450.0,0.0,277.7635733917884,13332.65152280585,333.3162880701461,487.801672896392,372.4935313375173,0.75,1.0,2658.0,0.0,1.709686306594995,82.06494271655976,2.051623567913994,251.3246469706187,267.5825860005944,0.93,438809.9838074066,0.01870170364049374,0,12.0,0.0,0.0
89,25_2023-03-27,A,3,ARA Sensetal,2023-03-27,v4.2,20230330_N1MHV_03270328_17.xlsx,2023-03-30,S-0676293-3-B7,n1mhv,ww,qscript_xlt,40.0,V,False,25971,147.0,3450.0,0.0,273.4219081988506,13124.25159354483,328.1062898386207,487.801672896392,372.4935313375173,0.76,0.0,2658.0,0.0,0.0,0.0,0.0,251.3246469706187,267.5825860005944,0.94,438809.9838074066,0.0,0,12.0,0.0,0.0
100,25_2023-03-26,A,3,ARA Sensetal,2023-03-26,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675357-3-A9,n1mhv,ww,qscript_xlt,40.0,U,False,26766,70.0,3017.0,0.0,126.1408441767723,6054.76052048507,151.3690130121267,466.2557955206058,378.1774055074592,0.92,1558.0,2384.0,0.0,2888.7775009253,138661.3200444144,3466.53300111036,3458.282586736345,288.2992437104704,1.09,438809.9838074066,31.59939954904781,0,12.0,0.0,0.0
101,25_2023-03-26,A,3,ARA Sensetal,2023-03-26,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675357-3-B9,n1mhv,ww,qscript_xlt,40.0,U,False,23877,63.0,3017.0,0.0,127.2644249922301,6108.692399627043,152.7173099906761,466.2557955206058,378.1774055074592,0.92,1471.0,2384.0,0.0,3062.95146220089,147021.6701856427,3675.541754641067,3458.282586736345,288.2992437104704,1.03,438809.9838074066,33.5046319844378,0,12.0,0.0,0.0
106,25_2023-03-25,A,3,ARA Sensetal,2023-03-25,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675359-7-C8,n1mhv,ww,qscript_xlt,40.0,U,False,24800,66.0,3017.0,0.0,128.3640583367626,6161.474800164602,154.0368700041151,474.237992705886,378.1774055074592,0.94,1.0,2384.0,0.0,1.942360001070995,93.23328005140776,2.330832001285194,272.2535068973771,288.2992437104704,0.94,438809.9838074066,0.0212468456716627,0,12.0,0.0,0.0
107,25_2023-03-25,A,3,ARA Sensetal,2023-03-25,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675359-7-D8,n1mhv,ww,qscript_xlt,40.0,U,False,25516,55.0,3017.0,0.0,103.9420387311803,4989.217859096652,124.7304464774163,474.237992705886,378.1774055074592,0.98,0.0,2384.0,0.0,0.0,0.0,0.0,272.2535068973771,288.2992437104704,0.94,438809.9838074066,0.0,0,12.0,0.0,0.0
112,25_2023-03-24,A,3,ARA Sensetal,2023-03-24,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675359-7-A8,n1mhv,ww,qscript_xlt,40.0,U,False,26576,16.0,3017.0,0.0,29.00906853111361,1392.435289493453,34.81088223733634,443.8413677650748,378.1774055074592,1.09,1106.0,2384.0,0.0,2047.556063563264,98282.69105103667,2457.067276275917,2466.850899512116,288.2992437104704,1.06,438809.9838074066,22.39755125858141,0,12.0,0.0,0.0
113,25_2023-03-24,A,3,ARA Sensetal,2023-03-24,v4.2,20230329_N1MHV_03220326_17.xlsx,2023-03-29,S-0675359-7-B8,n1mhv,ww,qscript_xlt,40.0,U,False,24684,33.0,3017.0,0.0,64.44088832658682,3093.162639676167,77.32906599190417,443.8413677650748,378.1774055074592,1.0,1062.0,2384.0,0.0,2118.341968649564,101680.4144951791,2542.010362379478,2466.850899512116,288.2992437104704,1.03,438809.9838074066,23.17185530122454,0,12.0,0.0,0.0
